Timestamp,MAC Address,Device Name,Vendor,Predicted OS,OS Confidence,Predicted Device Type,Uptime,Security,Distance,RTT (ms),RSSI (dBm),TX Power (dBm),Link Quality,LMP Version,LMP Subversion,Hardware Manufacturer,Baseband Features,Link Policy,Supervision Timeout,Clock Offset,AFH Map,AFH Mode,MTU Reliability,Permissions,Protocols,Services,DBus Battery,Class of Device,Modalias,SDP Handles,GATT UUIDs,Deep GATT Strings,Discrepancy Notes,Correct,LMP Features Raw,LMP Features (Notable),Chipset Vendor,Chipset Product ID,Chipset Model,Chipset Release Year,Estimated Min OS Hint,Inconsistency Flags,GATT Appearance Raw,GATT Appearance Category,Preferred Conn Interval Min (ms),Preferred Conn Interval Max (ms),Preferred Slave Latency,Preferred Supervision Timeout (ms),SDP Service Names (Raw),SDP Service Descriptions (Raw),SDP Extracted Hints,Confidence Score,Has Conflicting Signals,Evidence Chain Summary
2026-07-08 12:28:03,E4:8C:73:90:E4:FC,Unknown,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.",Unknown Unknown,Low,Unknown Peripheral,Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 1.88ms | Avg: 3.15ms | Max: 4.55ms,N/A,N/A,N/A,0,Hidden by Baseband (Modalias: bluetooth:v00E0p0000d0000),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: DENIED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED | WARNING: SDP Connection Blocked - Permissions Inferred,,,N/A,0x5a020c,bluetooth:v00E0p0000d0000,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 12:30:38,E4:8C:73:90:E4:FC,realme 11 Pro+ 5G,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.",Android Android 15 (Vanilla Ice Cream),High,Smartphone,0.01 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 3 meters,Min: 3.52ms | Avg: 4.86ms | Max: 5.96ms,-60,12,255,12,Hidden by Baseband (Modalias: bluetooth:v00E0p0000d0000),"MediaTek, Inc. (70)","0xbf 0x3e 0x8d 0xfe 0xdb 0xff 0x5b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets",Unknown,8000 slots (5000.00 msec),0x2e39,0xfc0f00f8ffff3f00f83f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: GRANTED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"RFCOMM"" (0x0003) | AVCTP"" (0x0017) | L2CAP"" (0x0100)",Advanced Audio Source | AV Remote Control Target | AV Remote Control | Headset Gateway | Handsfree Gateway | SMS/MMS | Android Network Access Point | Android Network User | OBEX Phonebook Access Server | SIM Access | OBEX Object Push | InSecureAFP | SecureAFP | InSecureAFP,N/A,0x5a020c,bluetooth:v00E0p0000d0000,0x10000 | 0x10001 | 0x10003 | 0x10004 | 0x10005 | 0x10006 | 0x10007 | 0x10008 | 0x10009 | 0x1000a | 0x1000b | 0x1000c | 0x1000d | 0x1000e | 0x1000f | 0x10010 | 0x10011 | 0x10012 | 0x10013,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 12:31:31,E4:8C:73:90:E4:FC,realme 11 Pro+ 5G,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.",Android Android 15 (Vanilla Ice Cream),High,Smartphone,0.03 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 3 meters,Min: 4.25ms | Avg: 4.91ms | Max: 5.77ms,-60,12,255,12,Hidden by Baseband (Modalias: bluetooth:v00E0p0000d0000),"MediaTek, Inc. (70)","0xbf 0x3e 0x8d 0xfe 0xdb 0xff 0x5b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets",Unknown,8000 slots (5000.00 msec),0x2e39,0xfc3f00f8ffffffffff3f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: GRANTED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | RFCOMM"" (0x0003) | L2CAP"" (0x0100)",Advanced Audio Source | AV Remote Control Target | AV Remote Control | Headset Gateway | Handsfree Gateway | SMS/MMS | Android Network Access Point | Android Network User | OBEX Phonebook Access Server | SIM Access | OBEX Object Push | InSecureAFP | SecureAFP | InSecureAFP,N/A,0x5a020c,bluetooth:v00E0p0000d0000,0x10000 | 0x10001 | 0x10003 | 0x10004 | 0x10005 | 0x10006 | 0x10007 | 0x10008 | 0x10009 | 0x1000a | 0x1000b | 0x1000c | 0x1000d | 0x1000e | 0x1000f | 0x10010 | 0x10011 | 0x10012 | 0x10013,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 12:33:39,84:88:E1:E0:B0:31,İrem iPhone,"Apple, Inc.",iOS / macOS iOS 16.x / macOS 13.x,High,Smartphone/Computer (Apple),12.93 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 2 meters,Min: 4.35ms | Avg: 5.26ms | Max: 6.0ms,-51,2,255,12,Hidden by Baseband (Modalias: bluetooth:v004Cp7410d1A50),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,8000 slots (5000.00 msec),0x7248,0xfedf13d47ffe01000070,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | RFCOMM"" (0x0003) | L2CAP"" (0x0100)",GATT | AAP Client | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,N/A,0x7a020c,bluetooth:v004Cp7410d1A50,0x4f491801 | 0x4f495dc0 | 0x4f491132 | 0x4f491116 | 0x4f497860 | 0x4f497840 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49112f | 0x4f49111f | 0x4f491200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 12:45:30,84:88:E1:E0:B0:31,İrem iPhone,"Apple, Inc.",iOS iOS 16.x / macOS 13.x,High,Smartphone (iPhone),13.12 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 2 meters,Min: 3.98ms | Avg: 5.53ms | Max: 6.83ms,-47,5,255,12,Hidden by Baseband (Modalias: bluetooth:v004Cp7410d1A50),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,8000 slots (5000.00 msec),0x7243,0x0e00000000bccff37b3f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | RFCOMM"" (0x0003) | L2CAP"" (0x0100)",GATT | AAP Client | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,N/A,0x7a020c,bluetooth:v004Cp7410d1A50,0x4f491801 | 0x4f495dc0 | 0x4f491132 | 0x4f491116 | 0x4f497860 | 0x4f497840 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49112f | 0x4f49111f | 0x4f491200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 12:51:42,84:88:E1:E0:B0:31,İrem iPhone,"Apple, Inc.",iOS iOS 16.x / macOS 13.x,High,Smartphone (iPhone),13.23 Hours,Legacy / Just-Works (Unsecured),Approx. 6 - 9 meters,Min: 3.1ms | Avg: 3.95ms | Max: 4.94ms,-72,12,255,12,Hidden by Baseband (Modalias: bluetooth:v004Cp7410d1A50),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,8000 slots (5000.00 msec),0x7241,0x0000000000f67dffdf7f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | RFCOMM"" (0x0003) | L2CAP"" (0x0100)",GATT | AAP Client | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,N/A,0x7a020c,bluetooth:v004Cp7410d1A50,0x4f491801 | 0x4f495dc0 | 0x4f491132 | 0x4f491116 | 0x4f497860 | 0x4f497840 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49112f | 0x4f49111f | 0x4f491200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 14:44:24,A8:81:7E:9C:17:4C,E.iPhone,"Apple, Inc.",iOS iOS 15+,High,Smartphone (iPhone),4.34 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 3 meters,Min: 3.13ms | Avg: 5.04ms | Max: 6.16ms,-60,12,255,11,Hidden by Baseband (Modalias: bluetooth:v004Cp7412d0F60),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,32000 slots (20000.00 msec),0x4f35,0xbe7f00f0ffffffffff3f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | L2CAP"" (0x0100) | RFCOMM"" (0x0003)",GATT | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,N/A,0x7a020c,bluetooth:v004Cp7412d0F60,0x4f491801 | 0x4f491132 | 0x4f491116 | 0x4f49eb28 | 0x4f49eb08 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49112f | 0x4f49111f | 0x4f491200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09 14:09:52,84:88:E1:E0:B0:31,İrem iPhone,"Apple, Inc.",iOS iOS 16+,High,Smartphone (iPhone),3.63 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 3 meters,Min: 2.96ms | Avg: 4.23ms | Max: 4.93ms,-60,8,255,12,Hidden by Baseband (Modalias: bluetooth:v004Cp7410d1A50),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,32000 slots (20000.00 msec),0x258b,0xfdffff0100000000f03f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"RFCOMM"" (0x0003) | AVCTP"" (0x0017) | L2CAP"" (0x0100)",GATT | AAP Client | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,N/A,0x7a020c,bluetooth:v004Cp7410d1A50,0x4f491801 | 0x4f495dc0 | 0x4f491132 | 0x4f491116 | 0x4f497860 | 0x4f497840 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49112f | 0x4f49111f | 0x4f491200,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09 14:24:44,D0:C1:BF:2D:1A:97,Redmi A5,Xiaomi Communications Co Ltd,Android Android 15 (Vanilla Ice Cream),High,Smartphone,0.02 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 3 meters,Min: 3.54ms | Avg: 4.73ms | Max: 5.86ms,-60,12,255,11,Hidden by Baseband (Modalias: bluetooth:v00E0p0000d0000),"Beijing Unisoc Technologies Co., Ltd. (1855)","0xbf 0xff 0x8d 0xfe 0xdb 0x3d 0x3b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, Park State, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,8000 slots (5000.00 msec),0x5779,0xd094f03cc80005000100,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: GRANTED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | L2CAP"" (0x0100) | RFCOMM"" (0x0003)",Advanced Audio Source | AV Remote Control Target | AV Remote Control | Headset Gateway | Handsfree Gateway | SMS/MMS | Android Network Access Point | Android Network User | OBEX Phonebook Access Server | OBEX Object Push,N/A,0x5a020c,bluetooth:v00E0p0000d0000,0x10000 | 0x10001 | 0x10003 | 0x10004 | 0x10005 | 0x10006 | 0x10007 | 0x10008 | 0x10009 | 0x1000a | 0x1000b | 0x1000c,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09 14:32:27,9C:A9:C5:69:8F:91,Unknown,"Apple, Inc.",iOS / macOS iOS 17+ / macOS 14+,High,Smartphone/Computer (Apple),Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 2.19ms | Avg: 3.47ms | Max: 4.13ms,N/A,N/A,N/A,14,Hidden by Baseband (Modalias: bluetooth:v004Cp201Bd0427),"Apple, Inc. (76)","0xbf 0xfe 0x2d 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED | WARNING: SDP Connection Blocked - Permissions Inferred,"L2CAP"" (0x0100) | AVCTP"" (0x0017) | RFCOMM"" (0x0003)",GATT | UARPS | AAP Server | Handsfree | AVRCP Target | AVRCP Controller | Audio Sink,N/A,0x240418,bluetooth:v004Cp201Bd0427,0x4f491200 | 0x4f491801 | 0x4f49f148 | 0x4f492190 | 0x4f49111e | 0x4f49110c | 0x4f49110e | 0x4f49110b,,,,,,,,,,,,,,,,,,,,,,,,
